,OR,P-value,Lower CI,Upper CI
Intercept,0.13333333333333333,0.00015349631764894597,0.04697341297103088,0.37846468147293383
"C(eGFR_status, Treatment(reference='Stable'))[T.Decline]",0.6818181818181819,0.6739771458214772,0.11448630119724361,4.060538494094032
"C(Cluster_Label, Treatment(reference='H-intensity'))[T.L-intensity]",0.4285714285714284,0.34704468140104916,0.07328947528073361,2.506137050158949
"C(eGFR_status, Treatment(reference='Stable'))[T.Decline]:C(Cluster_Label, Treatment(reference='H-intensity'))[T.L-intensity]",25.66666666666668,0.076545054372646,0.7074642795166638,931.1816820318502
